,Unnamed: 0,avgHigh,avgLow,date,index,max,min,recHigh,recLow
0,0,38.0,24.0,1-Jan,0,39.0,27.0,59.0,10.0
1,1,38.0,24.0,2-Jan,1,42.0,35.0,58.0,6.0
2,2,37.0,24.0,3-Jan,2,42.0,33.0,56.0,3.0
3,3,37.0,24.0,4-Jan,3,56.0,41.0,64.0,1.0
4,4,37.0,24.0,5-Jan,4,49.0,21.0,60.0,1.0
5,5,37.0,24.0,6-Jan,5,22.0,19.0,60.0,3.0
6,6,37.0,23.0,7-Jan,6,23.0,9.0,52.0,5.0
7,7,37.0,23.0,8-Jan,7,21.0,8.0,57.0,0.0
8,8,36.0,23.0,9-Jan,8,33.0,19.0,54.0,0.0
9,9,36.0,23.0,10-Jan,9,23.0,16.0,53.0,0.0
10,10,36.0,23.0,11-Jan,10,37.0,18.0,62.0,0.0
11,11,36.0,23.0,12-Jan,11,39.0,35.0,61.0,1.0
12,12,36.0,23.0,13-Jan,12,36.0,17.0,55.0,3.0
13,13,36.0,23.0,14-Jan,13,32.0,16.0,60.0,5.0
14,14,36.0,23.0,15-Jan,14,35.0,25.0,62.0,0.0
15,15,36.0,23.0,16-Jan,15,43.0,20.0,59.0,1.0
16,16,36.0,22.0,17-Jan,16,32.0,17.0,59.0,0.0
17,17,36.0,22.0,18-Jan,17,42.0,31.0,60.0,0.0
18,18,36.0,22.0,19-Jan,18,42.0,36.0,60.0,1.0
19,19,36.0,22.0,20-Jan,19,40.0,32.0,55.0,-4.0
20,20,36.0,22.0,21-Jan,20,36.0,25.0,53.0,2.0
21,21,36.0,22.0,22-Jan,21,40.0,31.0,57.0,2.0
22,22,36.0,22.0,23-Jan,22,39.0,28.0,60.0,1.0
23,23,36.0,22.0,24-Jan,23,39.0,33.0,68.0,4.0
24,24,36.0,22.0,25-Jan,24,42.0,31.0,56.0,4.0
25,25,36.0,22.0,26-Jan,25,31.0,22.0,70.0,8.0
26,26,36.0,22.0,27-Jan,26,30.0,20.0,65.0,4.0
27,27,36.0,22.0,28-Jan,27,34.0,16.0,56.0,4.0
28,28,36.0,22.0,29-Jan,28,36.0,19.0,55.0,1.0
29,29,37.0,22.0,30-Jan,29,38.0,19.0,57.0,7.0
30,30,37.0,22.0,31-Jan,30,26.0,13.0,58.0,6.0
31,31,37.0,22.0,1-Feb,31,36.0,20.0,62.0,4.0
32,32,37.0,22.0,2-Feb,32,34.0,14.0,58.0,-2.0
33,33,37.0,22.0,3-Feb,33,26.0,13.0,56.0,1.0
34,34,37.0,22.0,4-Feb,34,43.0,24.0,50.0,4.0
35,35,38.0,22.0,5-Feb,35,42.0,14.0,52.0,2.0
36,36,38.0,23.0,6-Feb,36,27.0,12.0,53.0,3.0
37,37,38.0,23.0,7-Feb,37,40.0,25.0,50.0,5.0
38,38,38.0,23.0,8-Feb,38,37.0,29.0,61.0,2.0
39,39,38.0,23.0,9-Feb,39,29.0,25.0,58.0,4.0
40,40,38.0,23.0,10-Feb,40,40.0,26.0,55.0,0.0
41,41,39.0,23.0,11-Feb,41,34.0,22.0,63.0,-3.0
42,42,39.0,23.0,12-Feb,42,40.0,16.0,54.0,0.0
43,43,39.0,23.0,13-Feb,43,21.0,8.0,60.0,0.0
44,44,39.0,24.0,14-Feb,44,32.0,16.0,55.0,0.0
45,45,39.0,24.0,15-Feb,45,25.0,4.0,71.0,0.0
46,46,40.0,24.0,16-Feb,46,21.0,3.0,66.0,2.0
47,47,40.0,24.0,17-Feb,47,27.0,14.0,62.0,-3.0
48,48,40.0,24.0,18-Feb,48,33.0,19.0,55.0,-1.0
49,49,40.0,25.0,19-Feb,49,27.0,8.0,58.0,10.0
50,50,41.0,25.0,20-Feb,50,19.0,2.0,65.0,5.0
51,51,41.0,25.0,21-Feb,51,32.0,13.0,60.0,5.0
52,52,41.0,25.0,22-Feb,52,43.0,32.0,64.0,8.0
53,53,41.0,26.0,23-Feb,53,38.0,8.0,71.0,10.0
54,54,42.0,26.0,24-Feb,54,24.0,4.0,72.0,16.0
55,55,42.0,26.0,25-Feb,55,37.0,20.0,65.0,13.0
56,56,42.0,26.0,26-Feb,56,32.0,21.0,63.0,10.0
57,57,42.0,27.0,27-Feb,57,30.0,18.0,65.0,9.0
58,58,43.0,27.0,28-Feb,58,29.0,13.0,72.0,11.0
59,59,43.0,27.0,29-Feb,59,,,65.0,7.0
60,60,43.0,27.0,1-Mar,60,31.0,24.0,70.0,5.0
61,61,43.0,27.0,2-Mar,61,39.0,27.0,75.0,10.0
62,62,44.0,28.0,3-Mar,62,37.0,22.0,61.0,10.0
63,63,44.0,28.0,4-Mar,63,45.0,35.0,63.0,11.0
64,64,44.0,28.0,5-Mar,64,40.0,19.0,72.0,12.0
65,65,44.0,29.0,6-Mar,65,27.0,12.0,61.0,16.0
66,66,45.0,29.0,7-Mar,66,38.0,18.0,67.0,9.0
67,67,45.0,29.0,8-Mar,67,49.0,37.0,72.0,9.0
68,68,45.0,30.0,9-Mar,68,54.0,40.0,62.0,10.0
69,69,46.0,30.0,10-Mar,69,53.0,39.0,68.0,10.0
70,70,46.0,30.0,11-Mar,70,59.0,44.0,64.0,12.0
71,71,46.0,31.0,12-Mar,71,47.0,36.0,62.0,12.0
72,72,47.0,31.0,13-Mar,72,43.0,31.0,65.0,19.0
73,73,47.0,31.0,14-Mar,73,51.0,40.0,69.0,19.0
74,74,47.0,32.0,15-Mar,74,44.0,36.0,64.0,17.0
75,75,48.0,32.0,16-Mar,75,52.0,35.0,67.0,15.0
76,76,48.0,32.0,17-Mar,76,57.0,34.0,65.0,13.0
77,77,48.0,33.0,18-Mar,77,39.0,29.0,69.0,5.0
78,78,48.0,33.0,19-Mar,78,43.0,29.0,68.0,16.0
79,79,49.0,33.0,20-Mar,79,38.0,29.0,70.0,15.0
80,80,49.0,34.0,21-Mar,80,47.0,29.0,67.0,12.0
81,81,49.0,34.0,22-Mar,81,43.0,28.0,64.0,14.0
82,82,50.0,34.0,23-Mar,82,38.0,23.0,65.0,19.0
83,83,50.0,35.0,24-Mar,83,45.0,26.0,74.0,23.0
84,84,50.0,35.0,25-Mar,84,49.0,34.0,77.0,18.0
85,85,51.0,35.0,26-Mar,85,62.0,42.0,70.0,20.0
86,86,51.0,36.0,27-Mar,86,46.0,39.0,74.0,24.0
87,87,52.0,36.0,28-Mar,87,40.0,26.0,78.0,20.0
88,88,52.0,36.0,29-Mar,88,46.0,25.0,80.0,25.0
89,89,52.0,37.0,30-Mar,89,54.0,36.0,76.0,22.0
90,90,53.0,37.0,31-Mar,90,47.0,35.0,70.0,20.0
91,91,53.0,37.0,1-Apr,91,51.0,32.0,76.0,26.0
92,92,53.0,38.0,2-Apr,92,67.0,41.0,74.0,29.0
93,93,54.0,38.0,3-Apr,93,64.0,59.0,70.0,22.0
94,94,54.0,38.0,4-Apr,94,60.0,42.0,77.0,23.0
95,95,54.0,39.0,5-Apr,95,61.0,42.0,74.0,22.0
96,96,55.0,39.0,6-Apr,96,63.0,42.0,70.0,21.0
97,97,55.0,39.0,7-Apr,97,62.0,42.0,72.0,18.0
98,98,55.0,40.0,8-Apr,98,45.0,37.0,81.0,21.0
99,99,56.0,40.0,9-Apr,99,43.0,37.0,75.0,25.0
100,100,56.0,40.0,10-Apr,100,56.0,39.0,79.0,26.0
101,101,56.0,41.0,11-Apr,101,57.0,44.0,80.0,27.0
102,102,57.0,41.0,12-Apr,102,66.0,43.0,87.0,26.0
103,103,57.0,41.0,13-Apr,103,68.0,50.0,83.0,28.0
104,104,57.0,42.0,14-Apr,104,65.0,55.0,74.0,21.0
105,105,58.0,42.0,15-Apr,105,72.0,51.0,83.0,27.0
106,106,58.0,42.0,16-Apr,106,64.0,52.0,80.0,26.0
107,107,59.0,43.0,17-Apr,107,71.0,55.0,83.0,28.0
108,108,59.0,43.0,18-Apr,108,80.0,59.0,83.0,36.0
109,109,59.0,43.0,19-Apr,109,64.0,48.0,86.0,31.0
110,110,60.0,44.0,20-Apr,110,57.0,46.0,82.0,33.0
111,111,60.0,44.0,21-Apr,111,65.0,52.0,82.0,20.0
112,112,60.0,44.0,22-Apr,112,69.0,48.0,83.0,27.0
113,113,61.0,45.0,23-Apr,113,52.0,41.0,81.0,30.0
114,114,61.0,45.0,24-Apr,114,52.0,39.0,85.0,38.0
115,115,61.0,45.0,25-Apr,115,62.0,38.0,87.0,33.0
116,116,62.0,46.0,26-Apr,116,64.0,46.0,80.0,33.0
117,117,62.0,46.0,27-Apr,117,62.0,49.0,86.0,32.0
118,118,62.0,47.0,28-Apr,118,71.0,50.0,82.0,38.0
119,119,63.0,47.0,29-Apr,119,78.0,50.0,86.0,37.0
120,120,63.0,47.0,30-Apr,120,67.0,48.0,79.0,40.0
121,121,63.0,48.0,1-May,121,63.0,49.0,83.0,36.0
122,122,64.0,48.0,2-May,122,74.0,48.0,80.0,34.0
123,123,64.0,48.0,3-May,123,80.0,51.0,82.0,38.0
124,124,64.0,49.0,4-May,124,85.0,57.0,87.0,38.0
125,125,65.0,49.0,5-May,125,85.0,66.0,86.0,40.0
126,126,65.0,49.0,6-May,126,73.0,59.0,88.0,41.0
127,127,66.0,50.0,7-May,127,80.0,56.0,78.0,36.0
128,128,66.0,50.0,8-May,128,82.0,56.0,87.0,36.0
129,129,66.0,50.0,9-May,129,70.0,57.0,88.0,36.0
130,130,67.0,51.0,10-May,130,83.0,61.0,89.0,34.0
131,131,67.0,51.0,11-May,131,84.0,70.0,85.0,40.0
132,132,67.0,51.0,12-May,132,86.0,64.0,85.0,39.0
133,133,67.0,52.0,13-May,133,70.0,53.0,88.0,38.0
134,134,68.0,52.0,14-May,134,73.0,50.0,81.0,41.0
135,135,68.0,52.0,15-May,135,75.0,55.0,83.0,41.0
136,136,68.0,53.0,16-May,136,75.0,57.0,87.0,40.0
137,137,69.0,53.0,17-May,137,83.0,64.0,90.0,38.0
138,138,69.0,53.0,18-May,138,75.0,60.0,88.0,38.0
139,139,69.0,54.0,19-May,139,80.0,59.0,95.0,38.0
140,140,70.0,54.0,20-May,140,67.0,54.0,88.0,41.0
141,141,70.0,55.0,21-May,141,62.0,52.0,96.0,41.0
142,142,70.0,55.0,22-May,142,74.0,55.0,94.0,47.0
143,143,71.0,55.0,23-May,143,70.0,49.0,93.0,44.0
144,144,71.0,56.0,24-May,144,81.0,56.0,92.0,41.0
145,145,71.0,56.0,25-May,145,85.0,64.0,89.0,40.0
146,146,72.0,56.0,26-May,146,88.0,67.0,92.0,44.0
147,147,72.0,57.0,27-May,147,85.0,70.0,86.0,41.0
148,148,72.0,57.0,28-May,148,85.0,70.0,88.0,39.0
149,149,73.0,57.0,29-May,149,85.0,65.0,97.0,46.0
150,150,73.0,58.0,30-May,150,85.0,67.0,92.0,44.0
151,151,73.0,58.0,31-May,151,87.0,57.0,89.0,48.0
152,152,73.0,58.0,1-Jun,152,58.0,51.0,92.0,46.0
153,153,74.0,59.0,2-Jun,153,55.0,50.0,91.0,49.0
154,154,74.0,59.0,3-Jun,154,70.0,52.0,83.0,46.0
155,155,74.0,59.0,4-Jun,155,65.0,54.0,88.0,48.0
156,156,75.0,60.0,5-Jun,156,70.0,55.0,91.0,50.0
157,157,75.0,60.0,6-Jun,157,76.0,60.0,90.0,50.0
158,158,75.0,60.0,7-Jun,158,74.0,55.0,90.0,46.0
159,159,75.0,60.0,8-Jun,159,79.0,63.0,92.0,48.0
160,160,76.0,61.0,9-Jun,160,83.0,68.0,96.0,44.0
161,161,76.0,61.0,10-Jun,161,82.0,65.0,94.0,49.0
162,162,76.0,61.0,11-Jun,162,89.0,72.0,94.0,44.0
163,163,76.0,62.0,12-Jun,163,88.0,73.0,93.0,44.0
164,164,77.0,62.0,13-Jun,164,86.0,72.0,94.0,50.0
165,165,77.0,62.0,14-Jun,165,88.0,66.0,97.0,49.0
166,166,77.0,63.0,15-Jun,166,83.0,64.0,95.0,51.0
167,167,77.0,63.0,16-Jun,167,79.0,65.0,96.0,50.0
168,168,78.0,63.0,17-Jun,168,82.0,66.0,93.0,50.0
169,169,78.0,63.0,18-Jun,169,71.0,64.0,91.0,46.0
170,170,78.0,64.0,19-Jun,170,87.0,68.0,91.0,52.0
171,171,78.0,64.0,20-Jun,171,75.0,64.0,96.0,49.0
172,172,79.0,64.0,21-Jun,172,88.0,71.0,92.0,55.0
173,173,79.0,64.0,22-Jun,173,87.0,70.0,92.0,53.0
174,174,79.0,65.0,23-Jun,174,90.0,75.0,91.0,54.0
175,175,79.0,65.0,24-Jun,175,84.0,68.0,95.0,53.0
176,176,80.0,65.0,25-Jun,176,83.0,65.0,96.0,48.0
177,177,80.0,65.0,26-Jun,177,81.0,69.0,100.0,46.0
178,178,80.0,65.0,27-Jun,178,71.0,58.0,98.0,50.0
179,179,80.0,66.0,28-Jun,179,73.0,62.0,95.0,50.0
180,180,80.0,66.0,29-Jun,180,76.0,63.0,96.0,57.0
181,181,81.0,66.0,30-Jun,181,82.0,68.0,97.0,56.0
182,182,81.0,66.0,1-Jul,182,82.0,69.0,97.0,54.0
183,183,81.0,66.0,2-Jul,183,80.0,69.0,98.0,56.0
184,184,81.0,67.0,3-Jul,184,82.0,66.0,102.0,56.0
185,185,81.0,67.0,4-Jul,185,75.0,69.0,98.0,53.0
186,186,82.0,67.0,5-Jul,186,83.0,68.0,97.0,49.0
187,187,82.0,67.0,6-Jul,187,83.0,72.0,94.0,49.0
188,188,82.0,67.0,7-Jul,188,88.0,75.0,96.0,53.0
